ime,wav,Int
uv_fe_60,2907.853,0.009
uv_fe_60,2916.148,0.006
uv_fe_60,2926.585,1.0
uv_fe_60,2939.507,0.016
uv_fe_60,2945.264,0.005
uv_fe_60,2953.774,0.849
uv_fe_60,2961.273,0.014
uv_fe_60,2964.659,0.013
uv_fe_60,2970.514,0.366
uv_fe_60,2975.933,0.027
uv_fe_60,2979.353,0.191
uv_fe_61,2833.369,0.01
uv_fe_61,2837.737,0.001
uv_fe_61,2861.168,0.032
uv_fe_61,2868.875,0.225
uv_fe_61,2874.854,0.032
uv_fe_61,2880.7563,1.0
uv_fe_61,2892.832,0.083
uv_fe_61,2917.462,0.079
uv_fe_78,2944.395,0.128
uv_fe_78,2947.655,0.2
uv_fe_78,2964.624,0.049
uv_fe_78,2965.032,0.14
uv_fe_78,2984.825,1.0
uv_fe_78,2985.545,0.705
uv_fe_78,3002.644,0.62
uv_fe_zw,2715.0,0.357
uv_fe_zw,2840.0,1.0
uv_fe_62,2692.834,0.003
uv_fe_62,2724.884,0.019
uv_fe_62,2730.734,0.036
uv_fe_62,2743.197,0.515
uv_fe_62,2746.483,0.613
uv_fe_62,2749.321,0.801
uv_fe_62,2755.736,1.0
uv_fe_63,2714.413,0.139
uv_fe_63,2727.539,0.131
uv_fe_63,2736.966,0.063
uv_fe_63,2739.547,1.0
uv_fe_63,2746.982,0.544
uv_fe_63,2749.181,0.251
uv_fe_63,2749.486,0.118
uv_fe_63,2761.813,0.058
uv_fe_63,2768.934,0.023
uv_fe_63,2772.723,0.001
